name,city,contact,address,phone,website,description,last_updated
"Healing Abuse Working for Change - Domestic Abuse Assistance - Salem, MA ","Boston, MA",,"27 Congress Street - Suite 204 Salem, MA 01970",978-744-8552,https://www.hawcdv.org/,"Healing Abuse Working for Change (HAWC) is a nonprofit agency serving victims of domestic abuse in 23 cities and towns in the North Shore of Massachusetts. We provide free and comprehensive services for domestic violence victims including emergency family shelter, legal advocacy, individual counseling, parent-child trauma recovery program, hospital advocacy and community outreach.",2020-02-01
"Family Shelter Project Hope - Dorchester, MA ","Boston, MA",,"45 Magnolia Street Dorchester, MA 02125",,617 442 1880,The Family Shelter was one of the first homeless shelter for families in the state and remains a model for its respectful and empowering approach. Approximately 20 women and their children are sheltered each year. The women are assisted to secure permanent housing and to connect with Project Hope's adult education and career development opportunities. If you need more information about how to access emergency shelter in Massachusetts call the Washington Street branch of the Department of Housing & Community Development DHCD at 617-989-6100. Do you have items to donate? Contact Family Shelter Project Hope at the phone number provided above to see if they can use any items you may have to donate.,
"HARBORLIGHT SALVATION ARMY SHELTER - Boston, MA ","Boston, MA",,"407 Shawmut Avenue Boston, MA 02118",,617 536 7469,Do you have items to donate? Contact HARBORLIGHT SALVATION ARMY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"DAVID JON LOUISON FOUNDATION - Brockton, MA ","Boston, MA",,"137 Newbury Street Brockton, MA 02301",,508 584 4315,"The Center offers temporary shelter as well as educational opportunities for the personal, social, and economic growth of all members of the homeless families. Once housed and self-sufficient, it is hoped that these individuals and their families will continue to recognize their own unique dignity, value, and self worth as they work towards the fulfillment of their goals and their own personal potential. Services offered to families in DJL Center care include: Emergency shelter 24-hour staff coverage Food pantry as necessary Clothing when necessary Access to medical care Transportation for housing appointments Handicap accessibility Intensive Case Management Family Care Planning (individualized strength-based treatment plans) Weekly Meetings with Case Manager Communal House Meetings Subsidized Child Care Job Search Career Choice Assistance Educational Counseling/Support After-Care Case Management and Support Support Groups (Parenting, Women's Issues, Self-Esteem, Girls Empowerment...) Mental Health Services through referral to our Mental Health Clinic Individual and Family Therapy Mediation and Family Support Life and Pro-Social Skill Building Activities Budgeting classes conducted through partnership with Harbor One Individual financial management and credit counseling Family Memberships to the Y (includes fitness center and all fitness classes, youth programming, swimming lessons, karate lessons, youth sports leagues, etc.) Big Sister Big Brother Mentoring Services Children attend YMCA Summer Camp Arts and Crafts classes for children Toddler group - child witness to violence project for 2-4 yr olds Homework Club and tutoring Volunteer led ""Fun Friday's"" and ""Family Fun Nights"" BBQ's, game nights, swimming parties, etc. Do you have items to donate? Contact DAVID JON LOUISON FOUNDATION at the phone number provided above to see if they can use any items you may have to donate.",
"Salvation Army Emergency Shelter - Cambridge, MA ","Boston, MA",,"402 Massachusetts Ave Cambridge, MA 02139",,(617) 547-3400,"This Salvation Army location provides much more than an emergency shelter. They also provide: Alcohol and Drug Treatment, Military Personnel Assistance, Transitional Care & Work Release, Emergency Financial Assistance, rent assistance, Transitional Housing. There are many other services. Contact them for help and details. Do you have items to donate? Contact Salvation Army Emergency Shelter at the phone number provided above to see if they can use any items you may have to donate.",
"MERRIMACK HOUSE - Lowell, MA ","Boston, MA",,"423 Pawtucket Street Lowell, MA 01854",,978 937 2418,Do you have items to donate? Contact MERRIMACK HOUSE at the phone number provided above to see if they can use any items you may have to donate.,
"Bristol Lodge Women's Shelter - Waltham, MA ","Boston, MA",,"205 Bacon Street Waltham, MA 02451",781-894-1225,https://www.mhsainc.org,"Operates on a first come, first served basis. If you are in need of a bed, you must go through the pre-screening process by calling 781-893-0108, Monday through Friday. Phone calls are accepted beginning at 9:00am. Please note that the Women's Shelter cannot receive phone calls placed before 4:00pm each day. Daytime phone calls should be directed to the Men's Shelter at 781-893-0108.12 Beds. Stay is 6 months. Night shelter. Opens at 6:00 pm - be in by 7:00 pm. Leave 7:45 in morning. The women's shelter provides emergency shelter to a combined total of area residents each night. Staff at each location are trained to provide a variety of specialized and essential services. Support staff are trained to provide all guests with a safe and supportive environment. Case managers help guests locate permanent housing, provide supportive counseling, refer guests to other agencies as needed, organize in-house AA meetings, offer employment counseling groups, and assist clients with entitlement benefits such as SSI or SSDI. Each and every guest has an individualized goal plan.Provides temporary, emergency accommodations, residents are limited to a maximum stay of up to 90 days. Each resident's ""90 day clock"" begins on the first night she/he reserves a bed and this ""clock"" does not stop, even if the resident sleeps elsewhere for one or more nights. After 90 days, the resident must wait an additional 30 days before reentering the program.Public Transportation To Shelter: The Bristol Lodge Women's Shelter is located directly adjacent to a large athletic field and across the street from the Thomas Plympton Elementary School. The entrance is located just past the athletic field parking lot. The Women's Shelter is also located 0.8 miles from the Waltham MBTA Commuter Rail station (Fitchburg Line). Do you have items to donate? Contact Bristol Lodge Women's Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Brookview House Transitional Housing Program - Dorchester, MA ","Boston, MA",,"2 Brookview Street Dorchester, MA 02124",617 265 2965,http://brookviewhouse.org/ : Follow us on Facebook,"Established in 1990, the agencyâ€™s mission is to help homeless and at risk families learn the skills necessary to break the cycle of homelessness and poverty. With sites in Roxbury and Dorchester, we provide a safe, community setting with customized services to give homeless moms and kids the help and skills they need to succeed.AGENCY PROGRAMS:1) YOUTH DEVELOPMENT PROGRAMS are licensed by the Commonwealth and designed to help school-age children (5.9 to 19 years old) recover from the trauma of homelessness and do well in school. Research indicates that children in a supportive, stable community can heal from the traumas of homelessness, stay in school and thrive. Brookview provides daily after school and full day summer programs with customized academic, emotional and behavioral support.2) TRANSITIONAL HOUSING, EMERGENCY HOUSING & RENTAL HOUSING with services. HOUSING SEARCH ASSISTANCE.Brookview provides a safe, supportive place to stay with on-site childrenâ€™s programs and lots of support. Moms who know their children are safe can focus on building the skills they need to support their families.3)TRAINING & EDUCATION. Our dedicated staff helps people address and overcome their particular barriers to success by offering a full range of skill building and health workshops. Each participant has a customized education, life skills and job skills training plan.4) PREVENTION & STABILIZATION. Brookview House also opens its programs to local area residents and schools to help those at risk of homelessness stay at work and housed. As a result, weâ€™re stabilizing the community as weâ€™re helping families thrive. Do you have items to donate? Contact Brookview House Transitional Housing Program at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Bridgehouse - Lynn, MA ","Boston, MA",,"24 Baker Street Lynn, MA 01902",,781 593 3898,"BridgeHouse derived its name from the new housing concept at that time, 'bridge housing,' which is an alternative temporary housing arrangement that seeks to bridge the gap between homelessness and independent residency. The mission of the house is to provide a continuum of strong support services for each family to establish self-sufficient lifestyles, and restore self-esteem and dignity to the head of the household and children. Today at BridgeHouse 11 families participate in a comprehensive service plan that includes benefits assistance, workshops and classes that target the development of tenancy skills and other life skills, such as parenting, budgeting, menu panning, health care services, mental health services, substance abuse treatment or prevention programs, domestic violence prevention services and referrals to any other programs necessary to assist our families.Hours of operation (or meeting times & dates): 24 hours a day Do you have items to donate? Contact Bridgehouse at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Hildebrand Family Self-Help Center - Congregate Family Shelter - Cambridge, MA ","Boston, MA",,"614 Massachusetts Avenue, 3rd floor Cambridge, MA 02139",617-491-5752,www.hild-selfhelp.org,"Hildebrand Family Self-Help Center provides shelter to families only and operates under a closed referral contract with the state. This is the administrative office. Hildebrand provides: Emergency shelter units with common facilities and on-site services, Independent apartments with support services and less structured supervision, designed for families ready to transition to permanent housing, Temporary (90 days) units for moderate income families in need of short- term homelessness support intervention, and Affordable housing offering permanent homes to low-income and formerly homeless families. Contact them for more details. Do you have items to donate? Contact Hildebrand Family Self-Help Center - Congregate Family Shelter at the phone number provided above to see if they can use any items you may have to donate.",
"ReVision Family Home - Dorchester, MA ","Boston, MA",,"not disclosed Dorchester, MA 02124",(617) 541-0222,http://www.vpi.org/NewVPI/ReVisionHouse.html,"shelter for 22 homeless women and their families that provides life-stabilization services, intensive housing placement services and vocational case management services. ReVision Family Home is directly connected to Victory Programs' ReVision Urban Farm and also provides hands on nutritional services to shelter residents. Do you have items to donate? Contact ReVision Family Home at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"Friends of the Unborn - Quincy, MA ","Boston, MA",,"PO Box 692246 Quincy, MA 02169",617-786-7903,www.friendsoftheunborn.org : Follow us on Facebook,"Established in 1984, it is a Christian Home for homeless, pregnant women. Applicants must be 18 years of age and not have issues with alcohol or drugs. Loving home where we offer classes in Parenting, Birthing, Computer Skills, Budgeting, Nutrition, Bible Sharing among other offerings. Women can stay after the birth up to the baby's first birthday if mom obeys the house rules. Networking offered to housing, financial assistance, education, etc. Volunteers Requests by Friends of the Unborn: Volunteers may go to our website and click on volunteer page to fill out form and send it to us. Donation Requests by Friends of the Unborn: Baby items, notions for Moms, Baby Carriages with carseat combo, some household items especial for kitchen, single sheets and pillowcases, towels, etc.",
"FAMILIES IN TRANSITION - Boston, MA ","Boston, MA",,"316 Huntington Avenue Boston, MA 02115",,617 927 8290,Do you have items to donate? Contact FAMILIES IN TRANSITION at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"Crossroads Family Shelter & Food Pantry - East Boston, MA ","Boston, MA",,"56 Havre Street East Boston, MA 02128",617 567 5926,www.ebcrossroads.org,"Crossroads' mission is to support families as they transition from homelessness to independent living and self-sufficiency. Today Crossroads provides shelter, case management, housing search, stabilization services, and food pantry assistance to homeless, formerly-homeless and low-income families. Services: Crossroads operates a food pantry at the shelter as an emergency resource for EAST BOSTON RESIDENTS who need food assistance for their families and themselves. Shelter units at Crossroads Family Shelter are currently dedicated to families referred to by the state's Department of Housing & Community Development (DHCD). Families seeking shelter are encouraged to contact DHCD to see if they are eligible for Emergency Assistance and placement in a family shelter such as Crossroads. DHCD Phone number: 877-481-3308 Do you have items to donate? Contact Crossroads Family Shelter & Food Pantry at the phone number provided above to see if they can use any items you may have to donate.",
"Attleboro Area Council of Churches - Attleboro, MA ","Boston, MA",,"95 Pine Street Attleboro, MA 02703",(508) 222-2933,www.attleborocouncilofchurches.org : Follow us on Facebook,"This is NOT a homeless shelter. They provide a program called Homes With Heart. Homes With Heart is a HUD sponsored program that's purpose is to find nd secure permanent housing for chronically homeless persons. Once this is accomplished, case management will be provided to assure support and services for the clients. This may include health insurance and care, nutrition and budget education, counseling and community integration through volunteerism. Homes With Heart has found permanent supportive housing for 24 men and women, and provided related services to numerous others. Homes With Heart staff and clients work cooperatively with other agencies in the areaâ€™s Continuum of Care in order to provide the most successful experiences possible. Contact them to see if they can assist you. Office hours: Mondays through Fridays 9am - 5pm. Do you have items to donate? Contact Attleboro Area Council of Churches at the phone number provided above to see if they can use any items you may have to donate.",
"SOUTH MIDDLESEX OPPORTUNITY COUNCIL - Framingham, MA ","Boston, MA",,"300 Howard Street Framingham, MA 01702",,508 620 2300,Do you have items to donate? Contact SOUTH MIDDLESEX OPPORTUNITY COUNCIL at the phone number provided above to see if they can use any items you may have to donate.,
"Bristol Lodge Women's Shelter - Waltham, MA ","Boston, MA",,"205 Bacon Street Waltham, MA 02451",781-894-1225,https://www.mhsainc.org,"Operates on a first come, first served basis. If you are in need of a bed, you must go through the pre-screening process by calling 781-893-0108, Monday through Friday. Phone calls are accepted beginning at 9:00am. Please note that the Women's Shelter cannot receive phone calls placed before 4:00pm each day. Daytime phone calls should be directed to the Men's Shelter at 781-893-0108.12 Beds. Stay is 6 months. Night shelter. Opens at 6:00 pm - be in by 7:00 pm. Leave 7:45 in morning. The women's shelter provides emergency shelter to a combined total of area residents each night. Staff at each location are trained to provide a variety of specialized and essential services. Support staff are trained to provide all guests with a safe and supportive environment. Case managers help guests locate permanent housing, provide supportive counseling, refer guests to other agencies as needed, organize in-house AA meetings, offer employment counseling groups, and assist clients with entitlement benefits such as SSI or SSDI. Each and every guest has an individualized goal plan.Provides temporary, emergency accommodations, residents are limited to a maximum stay of up to 90 days. Each resident's ""90 day clock"" begins on the first night she/he reserves a bed and this ""clock"" does not stop, even if the resident sleeps elsewhere for one or more nights. After 90 days, the resident must wait an additional 30 days before reentering the program.Public Transportation To Shelter: The Bristol Lodge Women's Shelter is located directly adjacent to a large athletic field and across the street from the Thomas Plympton Elementary School. The entrance is located just past the athletic field parking lot. The Women's Shelter is also located 0.8 miles from the Waltham MBTA Commuter Rail station (Fitchburg Line). Do you have items to donate? Contact Bristol Lodge Women's Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Lynn Shelter Association -  Adult Emergency Shelter - Lynn, MA ","Boston, MA",,"91 Liberty Street Lynn, MA 01901",781 581 6600,http://www.lsahome.org/ : Follow us on Facebook,"General InformationProviding emergency shelter to individuals and families, transitional and permanent supportive housing and street outreachAdult Emergency ShelterOpen 365 days a year, our emergency shelter serves up to 44 men and women over age 18, providing on-site case management, mental health and medical triage, access to basic necessities and a starting point on the path to permanent housing.Other Area Shelters Provided By Lynn Shelter Association.Bridge House Family Shelter: 781.593.3898Independence House: 781.477.7974 Great Hill: 781.593.3484 Veterans Group Housing for Chronically Addicted People Housing Opportunities for People with AIDSGreen House Family Shelter: 781.346.6568Shelter & Care at the Osmund: 781.596.3290 Inn Progression Massachusetts Rental Voucher Program Do you have items to donate? Contact Lynn Shelter Association - Adult Emergency Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"CAMBRIDGE YWCA EMERGENCY FAMILY SHELTER - Cambridge, MA ","Boston, MA",,"3 Bigelow Street Cambridge, MA 02139",,617 491 6055,Do you have items to donate? Contact CAMBRIDGE YWCA EMERGENCY FAMILY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"Multi Service Center for the Homeless - Cambridge, MA ","Boston, MA",,"362 Green St Cambridge, MA 02139",617 349 6340,https://www.cambridgema.gov/DHSP/programsforadults/cambridgemultiservicecenter,"The Cambridge Multi-Service Center (MSC) addresses the needs of homeless and near-homeless individuals and families living in our community. We provide direct services, planning and coordination of efforts for persons who are living on the street, in emergency shelters or at risk of losing their housing.We work to prevent evictions and resolve landlord-tenant problems through case management, advocacy and budget counseling. We also have a transitional living program for homeless men.Additionally, we provide assistance in applying for public benefits, financial counseling, legal services, and accessing mental health and substance abuse services.The Cambridge Haitian Services offers a variety of social services to Cambridge’s Haitian population, including: case management, information and referral, Haitian Creole interpretation, as well as, immigration and citizenship assistance. Do you have items to donate? Contact Multi Service Center for the Homeless at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"FAMILY RESOURCE CENTER - Attleboro, MA ","Boston, MA",,"11 Peck Street Attleboro, MA 02703",,508 226 5722,Do you have items to donate? Contact FAMILY RESOURCE CENTER at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"24 HOUR CHILD/AT RISK HOTLINE - C/O Dept. of Social Services - Boston, MA ","Boston, MA",,"24 Farnsworth Street Boston, MA 02210",,800 792 5200,Do you have items to donate? Contact 24 HOUR CHILD/AT RISK HOTLINE - C/O Dept. of Social Services at the phone number provided above to see if they can use any items you may have to donate.,
"Heading Home Shelter - Cambridge, MA ","Boston, MA",,"109 School Street Cambridge, MA 02139",(617) 547-1885,http://www.headinghomeinc.org/ : Follow us on Facebook,"Short term and extended stay beds for sober men and women. Provides case management, housing search, and referrals to community services to assist with mental health, medical care, employment, education, and benefits. Referral is needed; then call at 10 am to reserve a bedOur clients are both individuals and families spanning all ages, from infancy (and even pre-natal care) to elderly. A typical homeless family consists of a single mother in her 20s with 1-3 children; the majority of our own family program participants are young single mothers. People with disabilities are disproportionately homeless; we also provide specific services for individuals with disabilities both directly and via partnerships with housing development corporations.ProgramsPermanent Housing Congregate Housing Scattered-Site Apartments The John G. Guillemont House Lopez Avenue PropertyTransitional Housing Medford Family Life Education Center Transitional Housing Partnerships Transitional ApartmentsShelter and Emergency Services Dorchester Family Shelters Cambridge Shelter Women’s Drop-In Program Scattered-Site Apartments Volunteers Requests by Heading Home Shelter: Heading Home relies heavily on local volunteers year-round to help our clients feel at home, while we focus our resources on helping them build a brighter future. Volunteer Requirements All Volunteers must submit a Volunteer Application. Volunteers under age 18 must have a consent form signed by a parent or guardian; those under age 16 must be accompanied by an adult. Volunteers working around children must submit to a background check. Donation Requests by Heading Home Shelter: NEW! We have a running Amazon Wishlist where you can see some of the most pressing items our clients are in need of. Help make a house a home today. Email ljackson@headinghomeinc.org for questions regarding in-kind donations. How Your Donation Can Help $2,500 provides one year of financial coaching $1,000 provides 1:1 savings match $500 provides assistance to secure housing $250 covers the cost of a child’s bed $100 provides a job search starter kit To make a secure online donation: Donate To donate by mail: (Please make checks payable to Heading Home) Heading Home The Schrafft Center 529 Main Street, Suite 100 Charlestown, MA 02129 Heading Home’s tax identification number: 23-7364546 Special Gifts Matching gifts through your employer to multiply your donation’s effectiveness Tribute gifts to honor family or friends for a birthday, special occasion Memorial gifts to honor the memory of a loved one Stocks you have held for more than a year Remembering Heading Home in your bequest or other estate plans For more information on the many ways to give, please contact Emily Smaldon, Development Director, at esmaldon@headinghomeinc.org or 617.864.8140, ext. 107.",2020-02-01
"METROPOLITAN BOSTON HOUSING PARTNERSHIP - Boston, MA ","Boston, MA",,"569 Columbus Avenue Boston, MA 02118",,617 859 0400 ex,Do you have items to donate? Contact METROPOLITAN BOSTON HOUSING PARTNERSHIP at the phone number provided above to see if they can use any items you may have to donate.,
"PILGRIM CHURCH SHELTER - Dorchester, MA ","Boston, MA",,"540 Columbia Road Dorchester, MA 02125",,617-282-0456,"Since 1990, a Shelter for unaccompanied homeless men has been operated at Pilgrim Church. Originally established by Positive Lifestyles, it is now under the direction of the United Homes Adult Services division of Children's Services of Roxbury (this connection began with a recognition that a large number of homeless adults are, in fact, former foster children.) Do you have items to donate? Contact PILGRIM CHURCH SHELTER at the phone number provided above to see if they can use any items you may have to donate.",
"First Church Shelter - Cambridge, MA ","Boston, MA",,"11 Garden Street Cambridge, MA 02138",617 661 1873,http://www.firstchurchcambridge.org/,"Emergency shelter. Stay is variable. Hours: 6pm - 7am. Provides a basic act of mercy to the poor and homeless of Cambridge and surrounding communities. Each evening 14 men are provided with a safe, comfortable place to stay. Our guests have access to two meals, showers and personal storage facilities for their belongings.First Church Shelter also offers guests assistance with identifying and securing resources they need to move out of homelessness. A significant portion of that assistantance comes from a partnership between the Shelter and Homestart.Shelter staff are available to help guests negotiate the frequently difficult and intimidating process of applying for public benefits or subsidized housing.The Shelter is accessed on a referral only basis and is not able to accept walk-ins. Primary funding for the Shelter comes from a contract between the Commonwealth of Massachusetts and First Church Cambridge. The work of the Shelter would not be possible without additional assistance from other sources including the membership of First Church. Donations to support the Shelter are tax deductible. Do you have items to donate? Contact First Church Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"MASS BAY CHAPTER AMERICAN RED CROSS - Boston, MA ","Boston, MA",,"285 Columbus Ave. Boston, MA 02116",,1 800 564 1234,Do you have items to donate? Contact MASS BAY CHAPTER AMERICAN RED CROSS at the phone number provided above to see if they can use any items you may have to donate.,
"CAROLINA HILL SHELTER - Marshfield, MA ","Boston, MA",,"728 Main Street Marshfield, MA 02050",,781 837 1377,Do you have items to donate? Contact CAROLINA HILL SHELTER at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"Lifebridge - Salem, MA ","Boston, MA",,"56 Margin Street Salem, MA 01970",978-744-0500,http://www.lifebridgesalem.org/,"Lifebridge (formerly The Salem Mission) is working to offer men and women the opportunities they need to end their homelessness. Research shows that two factors are responsible for this problem: a lack of affordable housing and the persistence of poverty in our community. We believe that the way to solve this crisis one person at a time is to provide housing with supportive services, to encourage personal and income development, and stability in physical and mental health. To achieve our ambitious goals, we deliver a suite of essential services on our campus. You will speak with a shelter attendant or a shelter supervisor who will ask you questions about yourself. Shelter beds are available on a first come first served basis. We have 24 beds for men and 10 for women. When you become a Mission client, and if you are compliant with rules and regulations, you will have the same bed each night. If you are not compliant you will lose your bed and be subject to other disciplinary action. There is no charge for services, including shelter, food, medical, and mental health attention. Do you have items to donate? Contact Lifebridge at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"Nazareth Residence For Mothers & Children - Roxbury, MA ","Boston, MA",,"91 Regent Street Roxbury, MA 02119",(617) 541-0100,http://www.ccab.org/?q=shelter-services,"Nazareth Residence provides an opportunity for homeless mothers and their children to begin rebuilding their lives. Families are able to maintain their independence while they transition to permanent housing. The community-like atmosphere, supportive services, and 24-hour staffing create a safe and secure environment. Do you have items to donate? Contact Nazareth Residence For Mothers & Children at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"LAZARUS HOUSE - Lawrence, MA ","Boston, MA",,"48 Holly Street Lawrence, MA 01841",978-689-8575,www.lazarushouse.org,"Opened in 1983, Lazarus House's 31-bed emergency shelter is located in the Arlington District of Lawrence, MA. Seven days a week, Lazarus House provides a safe, clean and supportive environment for individuals and families on referral by social service, law enforcement, church or community groups. Guests are provided with three meals, a place to sleep, showers and laundry services, as well as counseling and referrals for community support. Guests may stay at Lazarus House while looking for a permanent home. We strive to encourage and support those who are unable to find housing or for those who are working towards making a deposit on housing. All services are provided free of charge and without regard to sex, race or religion. Above all, services are provided in the spirit of Christ with compassion and in regard for the dignity of each individual. Lazarus House has 31 beds and 7 cribs, with separate rooms for men, women, and families. Lazarus House provides three meals a day, clothing, laundry, linens, toiletries, infant care supplies, as well as all of the things a family needs to be a family. Our shelter is the foundation to break the cycle of poverty and resume independent living in the future. Lazarus House provides a hand up rather than a hand out: Structured, supervised environment All guests work with staff advocates toward self responsibility Encouragement to save money - budget - develop life skills Responsibility - Household shelter chores Many people who live at the shelter work full time. Due to limited job training, experience and corresponding wages, an average of 4-6 months is required for families to save enough money to move to a permanent residence. Do you have items to donate? Contact LAZARUS HOUSE at the phone number provided above to see if they can use any items you may have to donate.",
"Chardon Street Shelter for Women and Children - Boston, MA ","Boston, MA",,"41 New Chardon Street Boston, MA 02114",,617-720-3611,Temporary Home for Women and children. Do you have items to donate? Contact Chardon Street Shelter for Women and Children at the phone number provided above to see if they can use any items you may have to donate.,
"COMMUNITY TEAMWORK PAWTUCKET HOUSE - Lowell, MA ","Boston, MA",,"360 Pawtucket Street Lowell, MA 01854",,978 452 5410,Do you have items to donate? Contact COMMUNITY TEAMWORK PAWTUCKET HOUSE at the phone number provided above to see if they can use any items you may have to donate.,
"MARY MARTHA CENTER - Hingham, MA ","Boston, MA",,"1045 Main Street Hingham, MA 02043",,781-749-5441,Do you have items to donate? Contact MARY MARTHA CENTER at the phone number provided above to see if they can use any items you may have to donate.,
"CAROLINA HILL SHELTER - Marshfield, MA ","Boston, MA",,"728 Main Street Marshfield, MA 02050",,781 837 1377,Do you have items to donate? Contact CAROLINA HILL SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"TURNING POINT - Framingham, MA ","Boston, MA",,"75 Hollis Street Framingham, MA 01701",,508 875 6429,Do you have items to donate? Contact TURNING POINT at the phone number provided above to see if they can use any items you may have to donate.,
"HARBORLIGHT SALVATION ARMY SHELTER - Boston, MA ","Boston, MA",,"407 Shawmut Avenue Boston, MA 02118",,617 536 7469,Do you have items to donate? Contact HARBORLIGHT SALVATION ARMY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"PATHWAYS SHELTER - Framingham, MA ","Boston, MA",,"70 Pearl Street Framingham, MA 01702",,508 879 5047,Do you have items to donate? Contact PATHWAYS SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"SAINT FRANCIS HOUSE DAY CENTER Essex Station - Boston, MA ","Boston, MA",,"39 Boylston Street Boston, MA 02112",,617 542 4211,Do you have items to donate? Contact SAINT FRANCIS HOUSE DAY CENTER Essex Station at the phone number provided above to see if they can use any items you may have to donate.,
"INN BETWEEN - Peabody, MA ","Boston, MA",,"25 Holten Street Peabody, MA 01960",978 532 2372,http://cahns.org,"The Inn Between is an emergency program for homeless families. Founded in 1985, our original building, a lovely Victorian home, houses six families at a time, and includes one fully handicapped-accessible room. In this program we also maintain a “community room,” available for homeless families who are ineligible for shelter assistance from the state.ServicesOngoing meetings with a case manager to coordinate health care, children’s needs (counseling, school transportation, summer camp, day care), and parents’ needs (education, employment, legal, mental health, etc.)Assist families on a daily basis in their effort to obtain permanent, affordable housingLife skills development, including budgeting, nutrition, health, parenting skills and successful coping abilitiesProvide educational programs by community service providers, volunteers and businesses (GED, ESL, etc.)Computer access to work on resumes, letters, and hone job skills.Household chores, cooking, and shopping as shared responsibilities.Follow-up by a case manager who tracks families who move on for a full year, and sometimes longer Do you have items to donate? Contact INN BETWEEN at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
